life,arm,sleep,n_items,n_thinking,n_qa,n_episodic,n_reflection,n_principle,n_other,n_notes,first_person,prospective,retrospective,generic,specific,mean_note_words,prev_sleep,cumulative,n_new,n_dropped,new_n_notes,new_first_person,new_prospective,new_retrospective,new_generic,new_specific,new_mean_note_words
R2_B_seed4,R2,0960,1245,899,133,7,0,0,206,879,0.03640500568828214,0.040955631399317405,0.020477815699658702,0.01478953356086462,0.9590443686006825,35.50170648464164,0928,True,17,0,17,0.0,0.0,0.0,0.0,1.0,46.64705882352941
R2_B_seed4,R2,0992,1268,920,133,7,0,0,208,900,0.035555555555555556,0.04,0.02,0.014444444444444444,0.96,35.81,0960,True,23,0,21,0.0,0.0,0.0,0.0,1.0,48.714285714285715
R2_B_seed4,R2,1024,1284,935,133,7,0,0,209,915,0.034972677595628415,0.03934426229508197,0.019672131147540985,0.014207650273224045,0.9606557377049181,35.967213114754095,0992,True,16,0,15,0.0,0.0,0.0,0.0,1.0,45.4
R2_B_seed7,R2,0032,114,34,38,8,0,0,34,18,0.3333333333333333,0.4444444444444444,0.05555555555555555,0.2222222222222222,0.16666666666666666,20.944444444444443,,,,,,,,,,,
R2_B_seed7,R2,0064,243,72,85,11,0,0,75,53,0.39622641509433965,0.39622641509433965,0.3018867924528302,0.11320754716981132,0.49056603773584906,23.169811320754718,0032,True,129,0,35,0.42857142857142855,0.37142857142857144,0.42857142857142855,0.05714285714285714,0.6571428571428571,24.314285714285713
R2_B_seed7,R2,0096,299,89,97,11,0,0,102,70,0.35714285714285715,0.37142857142857144,0.3142857142857143,0.08571428571428572,0.5571428571428572,23.057142857142857,0064,True,56,0,17,0.23529411764705882,0.29411764705882354,0.35294117647058826,0.0,0.7647058823529411,22.705882352941178
R2_B_seed7,R2,0128,335,106,101,11,0,0,117,85,0.29411764705882354,0.3176470588235294,0.27058823529411763,0.07058823529411765,0.6352941176470588,22.88235294117647,0096,True,36,0,15,0.0,0.06666666666666667,0.06666666666666667,0.0,1.0,22.066666666666666
R2_B_seed7,R2,0160,400,135,113,11,0,0,141,114,0.24561403508771928,0.2543859649122807,0.23684210526315788,0.05263157894736842,0.6491228070175439,21.973684210526315,0128,True,65,0,29,0.10344827586206896,0.06896551724137931,0.13793103448275862,0.0,0.6896551724137931,19.310344827586206
R2_B_seed7,R2,0192,473,173,125,11,0,0,164,152,0.19078947368421054,0.19078947368421054,0.19736842105263158,0.039473684210526314,0.7236842105263158,21.585526315789473,0160,True,73,0,38,0.02631578947368421,0.0,0.07894736842105263,0.0,0.9473684210526315,20.42105263157895
R2_B_seed7,R2,0224,518,208,127,11,0,0,172,187,0.16042780748663102,0.16042780748663102,0.16042780748663102,0.03208556149732621,0.7593582887700535,21.60427807486631,0192,True,45,0,35,0.02857142857142857,0.02857142857142857,0.0,0.0,0.9142857142857143,21.685714285714287
R2_B_seed7,R2,0256,573,245,131,11,0,0,186,224,0.13392857142857142,0.13392857142857142,0.13392857142857142,0.026785714285714284,0.7991071428571429,21.767857142857142,0224,True,55,0,37,0.0,0.0,0.0,0.0,1.0,22.594594594594593
R2_B_seed7,R2,0288,615,278,132,11,0,0,194,257,0.11673151750972763,0.11673151750972763,0.11673151750972763,0.023346303501945526,0.8249027237354085,21.976653696498055,0256,True,42,0,33,0.0,0.0,0.0,0.0,1.0,23.393939393939394
